fraction_allowed_subs,nseq,rep,sample,dist,dist_var,dim,dim_ci
0.182,100,0,0,0.6604882121212121,0.0006341846147226815,49.517935273518766,5.877482064878696
0.182,1000,0,0,0.6609998330130129,0.000628237865632776,63.29586160527705,4.157519473711371
0.182,10000,0,0,0.661018275384738,0.0006289303129292904,68.38016958087293,6.6196319635458085
0.182,100,1,0,0.6655462323232323,0.0006299344166935008,56.44920477296656,5.079234745191172
0.182,1000,1,0,0.6655104757157158,0.00063125069899892,61.386796280220196,7.005307868968988
0.182,10000,1,0,0.6655209159867997,0.000630939622895078,62.83777664509613,7.25754114774426
0.182,100,2,0,0.652103092929293,0.0006448341926762126,51.40396047770396,7.7615226363962515
0.182,1000,2,0,0.6529039462662661,0.0006250890729230786,58.73972413691922,6.646437382658504
0.182,10000,2,0,0.6528200408920887,0.0006250105726587943,68.11630755255524,7.9706813920058455
0.182,100,3,0,0.6577993555555556,0.0006351989177463076,50.15240011392542,3.5196737493957415
0.182,1000,3,0,0.6579278922122123,0.0006213246278098831,58.52727364708711,6.882506829826518
0.182,10000,3,0,0.6579435144240413,0.0006178946116107612,65.07009065306903,7.557549923436196
0.182,100,4,0,0.6605428222222222,0.000602996781307789,57.56555166737898,4.885721102688787
0.182,1000,4,0,0.6607728237237234,0.0006177548025056636,54.75497919707188,6.347324940571906
0.182,10000,4,0,0.6607819852691293,0.0006178837386887162,66.71676041117225,7.198724456930205
0.182,100,5,0,0.6582283090909091,0.0006122677942923416,42.99429022265288,5.41638447810456
0.182,1000,5,0,0.6580405061061062,0.0006167843778843973,62.618487851264284,6.9634819265688686
0.182,10000,5,0,0.658058035053305,0.0006164627757386571,66.96963505974949,7.080305346346048
0.182,100,6,0,0.6546774787878787,0.0006165879155424794,47.86649263808274,2.454279894265139
0.182,1000,6,0,0.6544869384584586,0.0006207954361460824,57.790177414270914,6.755885741534747
0.182,10000,6,0,0.6545450115921582,0.0006191890326784432,64.4808785380869,6.99972755380407
0.182,100,7,0,0.6528356727272727,0.0006084156500019834,44.82873065563075,3.6498168293143234
0.182,1000,7,0,0.6524813118718719,0.0006146994756319453,63.108850842209826,6.5901463977359
0.182,10000,7,0,0.6524721268290824,0.000613947491995271,68.83507564578323,8.29050319502297
0.182,100,8,0,0.6542168323232324,0.0006131770037840057,54.27416984215335,6.356437210513104
0.182,1000,8,0,0.6537873849649651,0.0006175825274737038,60.842675926222235,7.254797098745078
0.182,10000,8,0,0.6537597354575471,0.000617420143718429,71.08255829069549,7.186577353501582
0.182,100,9,0,0.6607838464646465,0.0006508689591441039,53.030162517462465,6.57135074072039
0.182,1000,9,0,0.660794724224224,0.0006351983776434674,62.11977716445154,5.924010896179288
0.182,10000,9,0,0.6607614446560671,0.0006363552648741091,71.2279869437962,7.124389476457975
0.238,100,0,0,0.754236303030303,0.000574496729564738,56.580969877330396,5.2125126101703785
0.238,1000,0,0,0.7544207420420418,0.0005673401266944184,68.17076516129117,7.463645740754941
0.238,10000,0,0,0.7543599892313234,0.0005686259623677172,84.79019826714068,9.952355559108781
0.238,100,1,0,0.750711696969697,0.0005469508102112025,57.42270072044517,7.030680907319407
0.238,1000,1,0,0.7510606936136135,0.0005605064942099908,81.5769642652768,7.507664593910531
0.238,10000,1,0,0.7510675401848204,0.0005589377058686268,91.8834252868873,10.742074676838156
0.238,100,2,0,0.7453272767676768,0.0005610553306042074,59.28738780899003,8.878352839082421
0.238,1000,2,0,0.7448698293093097,0.0005583271800877812,78.12990058671043,8.707981746818986
0.238,10000,2,0,0.7448458363384339,0.0005576539063308478,83.77677713262031,8.921570033522771
0.238,100,3,0,0.7538229474747475,0.0005857119803022913,60.302785643145434,5.477926683729688
0.238,1000,3,0,0.7539534382182183,0.0005736806289288052,75.13997756887866,6.291759579735144
0.238,10000,3,0,0.7539592671569143,0.0005731159980835645,83.10233082375684,9.161677826893923
0.238,100,4,0,0.744807393939394,0.0005604303222185487,59.53494012595713,5.912705069161809
0.238,1000,4,0,0.7442082421021022,0.0005649817051362211,73.75587432956607,5.87603157200757
0.238,10000,4,0,0.7442188842924288,0.000562690603096078,85.7649769959593,8.84195448581045
0.238,100,5,0,0.7457797858585858,0.0005805394565197998,62.01911653411859,5.665469347633684
0.238,1000,5,0,0.7461030907907908,0.0005658512024059709,78.18471410204062,5.859752346387108
0.238,10000,5,0,0.7460908230262999,0.0005665425852555965,85.90076118684613,8.089291039456947
0.238,100,6,0,0.7438626101010101,0.0005432627826015138,61.42014133227667,9.061613043347936
0.238,1000,6,0,0.7434321322122123,0.0005605731761519692,74.50418907346611,6.705842219354359
0.238,10000,6,0,0.7434356276309637,0.0005589160621746635,83.20989843355147,9.304934717907763
0.238,100,7,0,0.7520108282828283,0.0005560707003644523,63.23108478305945,5.385510081959848
0.238,1000,7,0,0.7519451433633634,0.0005658922295291965,78.77336894011695,8.92825696735741
0.238,10000,7,0,0.7519623251675149,0.0005652112729815162,80.36888230798978,9.730478777617396
0.238,100,8,0,0.7472633252525251,0.0005487705197709782,55.47668183789089,4.956090976807284
0.238,1000,8,0,0.7469067199799803,0.000556908849485112,66.5050655402586,7.467467562373732
0.238,10000,8,0,0.746921996648267,0.0005575693966293906,86.97953922128603,9.240896579520015
0.238,100,9,0,0.7547656929292929,0.0005599266116309598,56.17112391253576,5.357040466547078
0.238,1000,9,0,0.754775650790791,0.0005700416188095038,80.95999984956758,6.944705059516098
