name	taxid	sp_number	accession_file
Muntiacus_muntjak	9888	128	GCA_008782695.1_UCB_Mmun_1.0_cds_from_genomic.fna.gz
Bison_bison	9901	129	GCF_000754665.1_Bison_UMD1.0_cds_from_genomic.fna.gz
Bos_taurus	9913	130	GCF_002263795.1_ARS-UCD1.2_cds_from_genomic.fna.gz
Bos_indicus	9915	131	GCF_000247795.1_Bos_indicus_1.0_cds_from_genomic.fna.gz
Capra_hircus	9925	132	GCF_001704415.1_ARS1_cds_from_genomic.fna.gz
Ovis_aries	9940	133	GCF_002742125.1_Oar_rambouillet_v1.0_cds_from_genomic.fna.gz
Manis_javanica	9974	134	GCF_001685135.1_ManJav1.0_cds_from_genomic.fna.gz
Ochotona_princeps	9978	135	GCF_000292845.1_OchPri3.0_cds_from_genomic.fna.gz
Oryctolagus_cuniculus	9986	136	GCF_000003625.3_OryCun2.0_cds_from_genomic.fna.gz
Marmota_marmota	9993	137	GCF_001458135.1_marMar2.1_cds_from_genomic.fna.gz
Marmota_monax	9995	138	GCA_901343595.1_MONAX5_cds_from_genomic.fna.gz
Urocitellus_parryii	9999	139	GCF_003426925.1_ASM342692v1_cds_from_genomic.fna.gz
Dipodomys_ordii	10020	140	GCF_000151885.1_Dord_2.0_cds_from_genomic.fna.gz
Cricetulus_griseus	10029	141	GCF_000223135.1_CriGri_1.0_cds_from_genomic.fna.gz
Mesocricetus_auratus	10036	142	GCF_000349665.1_MesAur1.0_cds_from_genomic.fna.gz
Peromyscus_leucopus	10041	143	GCF_004664715.1_Pero_0.1_cds_from_genomic.fna.gz
Peromyscus_maniculatus	10042	144	GCF_000500345.1_Pman_1.0_cds_from_genomic.fna.gz
Meriones_unguiculatus	10047	145	GCF_002204375.1_MunDraft-v1.0_cds_from_genomic.fna.gz
Mus_caroli	10089	146	GCF_900094665.1_CAROLI_EIJ_v1.1_cds_from_genomic.fna.gz
Mus_musculus	10090	147	GCF_000001635.26_GRCm38.p6_cds_from_genomic.fna.gz
Mus_pahari	10093	148	GCF_900095145.1_PAHARI_EIJ_v1.1_cds_from_genomic.fna.gz
Rattus_norvegicus	10116	149	GCF_000001895.5_Rnor_6.0_cds_from_genomic.fna.gz
Rattus_rattus	10117	150	GCF_011064425.1_Rrattus_CSIRO_v1_cds_from_genomic.fna.gz
Cavia_porcellus	10141	151	GCF_000151735.1_Cavpor3.0_cds_from_genomic.fna.gz
Octodon_degus	10160	152	GCF_000260255.1_OctDeg1.0_cds_from_genomic.fna.gz
Heterocephalus_glaber	10181	153	GCF_000247695.1_HetGla_female_1.0_cds_from_genomic.fna.gz
Amazona_aestiva	12930	154	GCA_001420675.1_ASM142067v1_cds_from_genomic.fna.gz
Melopsittacus_undulatus	13146	155	GCF_000238935.1_Melopsittacus_undulatus_6.3_cds_from_genomic.fna.gz
Monodelphis_domestica	13616	156	GCF_000002295.2_MonDom5_cds_from_genomic.fna.gz
Pelodiscus_sinensis	13735	157	GCF_000230535.1_PelSin_1.0_cds_from_genomic.fna.gz
Saimiri_boliviensis	27679	158	GCF_000235385.1_SaiBol1.0_cds_from_genomic.fna.gz
Erpetoichthys_calabaricus	27687	159	GCF_900747795.1_fErpCal1.1_cds_from_genomic.fna.gz
Anolis_carolinensis	28377	160	GCF_000090745.1_AnoCar2.0_cds_from_genomic.fna.gz
Elephantulus_edwardii	28737	161	GCF_000299155.1_EleEdw1.0_cds_from_genomic.fna.gz
Cyprinodon_variegatus	28743	162	GCF_000732505.1_C_variegatus-1.0_cds_from_genomic.fna.gz
Ursus_maritimus	29073	163	GCF_000687225.1_UrsMar_1.0_cds_from_genomic.fna.gz
Eptesicus_fuscus	29078	164	GCF_000308155.1_EptFus1.0_cds_from_genomic.fna.gz
Neomonachus_schauinslandi	29088	165	GCF_002201575.1_ASM220157v1_cds_from_genomic.fna.gz
Vombatus_ursinus	29139	166	GCF_900497805.2_bare-nosed_wombat_genome_assembly_cds_from_genomic.fna.gz
Chanos_chanos	29144	167	GCF_902362185.1_fChaCha1.1_cds_from_genomic.fna.gz
Opisthocomus_hoazin	30419	168	GCF_000692075.1_ASM69207v1_cds_from_genomic.fna.gz
Fulmarus_glacialis	30455	169	GCF_000690835.1_ASM69083v1_cds_from_genomic.fna.gz
Nothoprocta_perdicaria	30464	170	GCF_003342845.1_notPer1_cds_from_genomic.fna.gz
Bos_indicus_x_Bos_taurus	30522	171	GCF_003369695.1_UOA_Brahman_1_cds_from_genomic.fna.gz
Vicugna_pacos	30538	172	GCF_000164845.3_VicPac3.1_cds_from_genomic.fna.gz
Microcebus_murinus	30608	173	GCF_000165445.2_Mmur_3.0_cds_from_genomic.fna.gz
Otolemur_garnettii	30611	174	GCF_000181295.1_OtoGar3_cds_from_genomic.fna.gz
Oryzias_melastigma	30732	175	GCF_002922805.1_Om_v0.7.RACA_cds_from_genomic.fna.gz
Takifugu_rubripes	31033	176	GCF_901000725.2_fTakRub1.2_cds_from_genomic.fna.gz
Xiphophorus_couchianus	32473	177	GCF_001444195.1_X_couchianus-1.0_cds_from_genomic.fna.gz
