OG_id,SimuID,ali_len,num_invar_sites,num_var_sites,mean_alphabet_size,median_alphabet_size,max_ld,mean_ld,median_ld,var_ld,dim_ur,dim_CI_ur,dim_R^2_ur,dim_range_end_ur,dim_range_start_ur,n_seq_from_dim_log10,n_seq_from_dim_log20,n_seq_from_dim_log_alpha,log10_nseq_ci,log20_nseq_ci,n_seq_bin_expected_from_dn/ds_log20,n_seq_bin_expected_from_usage_log20,n_seq_expected_from_dn/ds_log20,n_seq_expected_from_usage_log20,n_seq_diff_dnds_log10,n_seq_diff_dnds_log20,n_seq_diff_usage_log10,n_seq_diff_usage_log20,dnds_mean,dnds_median,dnds_var,dn_mean,dn_median,dn_var,ds_mean,ds_median,ds_var,filt_length,frac_NA,frac_SE_high,frac_dS<0.1,frac_dS>0.8,orig_length,dnds_from_usage,dnds_from_usage_cons,nodes,branch_length_distr,fraction_allowed_subs,gamma,mode,replicate,run,suffix,tree_len_scale,dnds_mean_tree,dnds_median_tree,dnds_var_tree,nonsyn_subs_count,syn_subs_count,total_treelength,integral_b0,norm_integral_b0
ali_tree_0.05_exp_1_continuousF.longleaves.run3_f0.201_fnum31_0,SimuOG4671,300,12,288.0,4.683,4.0,0.52333,0.3804133070234114,0.38667,0.0025215453125106,7.26,0.574,0.986,0.85,0.35,15.94221139376505,12.253531007660538,26.479439961790767,1.2604448126750878,0.9688053441318386,83.51803909001347,129.06212674426303,89.57282783523016,138.8269278958555,92.71726264137939,71.26450808235293,151.97148680470767,116.80859573660248,0.1223,0.1192,0.0009,0.0641,0.0611,0.0005,0.5395,0.549,0.0295,210.0,0.0,0.0,0.0,0.9953,44850.0,0.1938421052631579,0.5261428571428571,leaves,exp,0.201,1.0,tree,31,longleaves,continuousF.longleaves.run3,0.05,0.13892,0.13923,0.0001,14379,24648,39027,50.38,115.734
ali_tree_0.05_exp_10_continuousF.longleaves.run3_f0.466_fnum31_0,SimuOG3831,300,0,300.0,14.15,14.0,0.9,0.6949177866220735,0.71,0.0095969126461176,6.613,0.366,0.993,0.9,0.4,16.078608572383384,12.35836885081013,14.028632117762161,0.8898791376821894,0.683980492877137,202.90666731740757,263.1488160610456,207.18333670911392,264.2816936192108,247.90905192777626,190.54829846659743,326.28589444650055,250.79044721023544,0.3958,0.3865,0.0068,0.2213,0.2152,0.0075,0.561,0.5956,0.0316,1101.0,0.0,0.0,0.0001,0.9753,44850.0,0.6921052631578948,1.8785714285714288,leaves,exp,0.466,10.0,tree,31,longleaves,continuousF.longleaves.run3,0.05,0.41892,0.41947,0.00092,22227,15777,38004,80.99,104.334
ali_tree_0.05_exp_100_continuousF.longleaves.run3_f0.143_fnum31_0,SimuOG2853,300,0,300.0,10.63,11.0,0.78667,0.499597932218506,0.5,0.0116648053866852,4.487,0.296,0.99,0.75,0.25,10.647264414425223,8.183719399176026,10.22406299388162,0.7023824975863308,0.5398664903401167,58.165541391262316,237.92475683757166,52.54760582918879,240.1311319406014,65.02784964964191,49.98182199208629,298.8999809423144,229.74103743839564,0.0845,0.0852,0.0005,0.0445,0.0423,0.0003,0.5408,0.5582,0.0271,150.0,0.0,0.0,0.0,0.9967,44850.0,0.506842105263158,1.375714285714286,leaves,exp,0.143,100.0,tree,31,longleaves,continuousF.longleaves.run3,0.05,0.09696,0.09671,6e-05,10428,28664,39092,43.3934,71.05
ali_tree_0.05_exp_0_continuousF.longleaves.run3_f0.321_fnum32_0,SimuOG2016,300,28,272.0,4.943,5.0,0.67333,0.5185691634336678,0.53,0.0043653453751173,7.144,0.45,0.991,0.9,0.4,16.469414823883817,12.658751050146728,23.562405713717013,1.0374071487608787,0.797373736361426,147.15060589989952,152.84245263806906,155.9098597133732,161.1730721041445,174.97793733201468,134.4918548497528,182.38320066909546,140.18370158792234,0.2372,0.2344,0.0028,0.1251,0.1258,0.0018,0.5429,0.5694,0.0321,501.0,0.0,0.0,0.0,0.9888,44850.0,0.2075263157894736,0.5632857142857143,leaves,exp,0.321,0.0,tree,32,longleaves,continuousF.longleaves.run3,0.05,0.28326,0.28283,0.00038,19294,18452,37746,68.1901,115.184
ali_tree_0.05_exp_1_continuousF.longleaves.run3_f0.612_fnum32_0,SimuOG4773,300,0,300.0,12.103,12.0,0.90333,0.7126371603121515,0.72667,0.0078205540157132,7.306,0.631,0.983,0.95,0.45,17.775261930783984,13.662453586792495,16.471062665223105,1.5352026113228434,1.1799901742767676,238.82020268827475,247.06112417897032,240.98325903918663,248.8446652984809,292.93698533721323,225.15774910148224,303.65867138852013,233.39867059217784,0.5547,0.5501,0.0098,0.3225,0.3259,0.0116,0.5844,0.6213,0.0285,2223.0,0.0,0.0,0.0002,0.9502,44850.0,0.5843684210526315,1.586142857142857,leaves,exp,0.612,1.0,tree,32,longleaves,continuousF.longleaves.run3,0.05,0.57169,0.57143,0.00184,25160,12964,38124,91.15,113.635
ali_tree_0.05_exp_10_continuousF.longleaves.run3_f0.535_fnum32_0,SimuOG3852,300,0,300.0,14.857,15.0,0.93333,0.7367456519509475,0.75333,0.0089553904257611,7.147,0.398,0.993,0.9,0.4,17.489827364616396,13.443062360518793,14.871148161291071,0.9739682791545159,0.7486132390494584,224.9403899739692,270.3137670541621,227.82493068295975,271.1908095067699,275.164367227871,211.4973276134504,334.1964918137745,256.8707046936433,0.4864,0.4764,0.0095,0.2742,0.2736,0.0108,0.5667,0.6033,0.0327,1241.0,0.0,0.0,0.0001,0.9722,44850.0,0.7293157894736841,1.9795714285714283,leaves,exp,0.535,10.0,tree,32,longleaves,continuousF.longleaves.run3,0.05,0.51051,0.51092,0.00147,25254,15134,40388,91.8899,111.293
ali_tree_0.05_exp_100_continuousF.longleaves.run3_f0.356_fnum32_0,SimuOG2919,300,0,300.0,14.7,15.0,0.90667,0.7184490470457079,0.74,0.0103000263502044,6.212,0.395,0.991,0.95,0.45,15.123551950361774,11.624291523458275,12.85916533594929,0.9616553477773505,0.7391492517331003,171.10891359268027,270.3137670541621,177.9176844775532,271.1908095067699,207.49427715919157,159.48462206922198,336.56276722802914,258.6894755307038,0.2955,0.2889,0.0045,0.165,0.1606,0.0037,0.5643,0.5989,0.0291,615.0,0.0,0.0,0.0,0.9863,44850.0,0.7210526315789473,1.957142857142857,leaves,exp,0.356,100.0,tree,32,longleaves,continuousF.longleaves.run3,0.05,0.31205,0.31331,0.00058,20028,18457,38485,78.1834,95.6815
ali_tree_0.05_exp_0_continuousF.longleaves.run3_f0.636_fnum33_0,SimuOG2076,300,1,299.0,10.813,11.0,0.89667,0.7291436506131549,0.74333,0.0076185338803742,7.724,0.509,0.99,0.95,0.45,18.76741908094062,14.42504718837221,18.021462363247895,1.2367447322888108,0.950588945997081,242.17689573977924,237.92475683757166,244.18126768173502,240.1311319406014,296.3119865333008,227.75184855140702,290.779826275799,223.49970964919945,0.5727,0.561,0.0127,0.3257,0.3308,0.0125,0.5748,0.6155,0.0296,2066.0,0.0,0.0,0.0003,0.9537,44850.0,0.5164736842105263,1.401857142857143,leaves,exp,0.636,0.0,tree,33,longleaves,continuousF.longleaves.run3,0.05,0.61058,0.61051,0.00196,26220,12107,38327,95.6133,115.382
ali_tree_0.05_exp_1_continuousF.longleaves.run3_f0.342_fnum33_0,SimuOG4713,300,2,298.0,6.913,7.0,0.75667,0.5451575525083612,0.55333,0.005566132374012,6.848,0.422,0.991,0.85,0.35,16.13407817156538,12.401003993248708,19.091368584044048,0.9942437191005535,0.7641973839297539,148.14750943268942,189.59380310458312,156.83438752399928,194.86822967128302,176.61027538327616,135.7465054394407,230.5331466595081,177.1927991113344,0.2394,0.2325,0.003,0.1227,0.1219,0.002,0.5246,0.5403,0.0321,482.0,0.0,0.0,0.0,0.9893,44850.0,0.3112105263157895,0.8447142857142858,leaves,exp,0.342,1.0,tree,33,longleaves,continuousF.longleaves.run3,0.05,0.26813,0.26715,0.0004,18701,19010,37711,67.7601,104.313
ali_tree_0.05_exp_10_continuousF.longleaves.run3_f0.363_fnum33_0,SimuOG3807,300,0,300.0,13.24,13.0,0.89,0.6564628153846153,0.67667,0.0119253843685485,5.455,0.119,0.999,0.85,0.35,13.23661893074376,10.173953694271626,11.882667914245715,0.28875484010238445,0.22194326115826274,166.33782160577383,255.4291738875094,173.55394086902282,256.86033896666663,203.17387639177224,156.1638679115022,319.0843980645769,245.25522019323776,0.2829,0.2773,0.0032,0.1531,0.1555,0.0028,0.552,0.584,0.0323,691.0,0.0,0.0,0.0,0.9845,44850.0,0.6442105263157895,1.7485714285714289,leaves,exp,0.363,10.0,tree,33,longleaves,continuousF.longleaves.run3,0.05,0.31732,0.31774,0.00042,20257,17716,37973,73.9833,96.4533
